"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"caseD_2d","80064954","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_2e","80064954","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_30","80064954","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_33","80064954","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_6","8006495c","Instruction Label","switchD_80064938","Analysis","16","0"
"caseD_7","8006495c","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_8","8006495c","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_d","8006495c","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_f","8006495c","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_12","8006495c","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_14","8006495c","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_18","8006495c","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_19","8006495c","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_1a","8006495c","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_1d","8006495c","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_1e","8006495c","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_1f","8006495c","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_29","8006495c","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_2b","8006495c","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_2","80064964","Instruction Label","switchD_80064938","Analysis","16","0"
"caseD_9","80064964","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_a","80064964","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_11","80064964","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_13","80064964","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_15","80064964","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_16","80064964","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_17","80064964","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_1b","80064964","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_25","80064964","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_26","80064964","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_2a","80064964","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_31","80064964","Instruction Label","switchD_80064938","Analysis","0","0"
"caseD_32","80064964","Instruction Label","switchD_80064938","Analysis","0","0"
"FUN_8006496c","8006496c","Function","Global","Default","0","0"
"FUN_800649bc","800649bc","Function","Global","Default","0","0"
"challengeSetCPURoster2","80064a04","Function","Global","User Defined","3","0"
"unsure_FillRosterPositions","80064a04","Function","Global","User Defined","0","0"
"setInitialBattingOrder","80065dec","Function","Global","User Defined","7","0"
"characterSelectScreen?","80065dec","Function","Global","User Defined","0","0"
"FUN_80066eac","80066eac","Function","Global","Default","0","0"
"FUN_800670a0","800670a0","Function","Global","Default","1","0"
"FUN_800671fc","800671fc","Function","Global","Default","1","0"
"teamClassTypeLogos","80067264","Function","Global","User Defined","3","0"
"teamCompositionLogos","800675c4","Function","Global","User Defined","3","0"
"teamLogoDetermination","800678cc","Function","Global","User Defined","0","0"
"FUN_80067ac8","80067ac8","Function","Global","Default","5","0"
"FUN_80067c48","80067c48","Function","Global","Default","5","0"
"FUN_80067f70","80067f70","Function","Global","Default","0","0"
"FUN_800684a4","800684a4","Function","Global","Default","0","0"
"FUN_80068514","80068514","Function","Global","Default","0","0"
"FUN_8006862c","8006862c","Function","Global","Default","0","0"
"FUN_80068720","80068720","Function","Global","Default","0","0"
"FUN_8006877c","8006877c","Function","Global","Default","0","0"
"FUN_80068838","80068838","Function","Global","Default","0","0"
"unknownSettingTeamValues","8006885c","Function","Global","User Defined","0","0"
"FUN_800697b0","800697b0","Function","Global","Default","0","0"
"FUN_80069854","80069854","Function","Global","Default","1","0"
"findCharacterID","800698f8","Function","Global","User Defined","9","0"
"switchD","800699b8","Instruction Label","switchD_800699b8","Analysis","0","0"
"caseD_0","800699bc","Instruction Label","switchD_800699b8","Analysis","3","0"
"caseD_1","800699bc","Instruction Label","switchD_800699b8","Analysis","0","0"
"caseD_2","800699c4","Instruction Label","switchD_800699b8","Analysis","3","0"
"caseD_3","800699c4","Instruction Label","switchD_800699b8","Analysis","0","0"
"caseD_4","800699cc","Instruction Label","switchD_800699b8","Analysis","5","0"
"caseD_5","800699cc","Instruction Label","switchD_800699b8","Analysis","0","0"
"caseD_6","800699cc","Instruction Label","switchD_800699b8","Analysis","0","0"
"caseD_7","800699cc","Instruction Label","switchD_800699b8","Analysis","0","0"
"caseD_8","800699d4","Instruction Label","switchD_800699b8","Analysis","4","0"
"caseD_9","800699d4","Instruction Label","switchD_800699b8","Analysis","0","0"
"caseD_a","800699d4","Instruction Label","switchD_800699b8","Analysis","0","0"
"caseD_b","800699dc","Instruction Label","switchD_800699b8","Analysis","2","0"
"caseD_c","800699e4","Instruction Label","switchD_800699b8","Analysis","2","0"
"caseD_d","800699ec","Instruction Label","switchD_800699b8","Analysis","5","0"
"caseD_e","800699ec","Instruction Label","switchD_800699b8","Analysis","0","0"
"caseD_f","800699ec","Instruction Label","switchD_800699b8","Analysis","0","0"
"caseD_10","800699ec","Instruction Label","switchD_800699b8","Analysis","0","0"
"caseD_11","800699f4","Instruction Label","switchD_800699b8","Analysis","4","0"
"caseD_12","800699f4","Instruction Label","switchD_800699b8","Analysis","0","0"
"caseD_13","800699f4","Instruction Label","switchD_800699b8","Analysis","0","0"
"caseD_14","800699fc","Instruction Label","switchD_800699b8","Analysis","3","0"
"caseD_15","800699fc","Instruction Label","switchD_800699b8","Analysis","0","0"
"caseD_16","80069a00","Instruction Label","switchD_800699b8","Analysis","10","0"
"FUN_80069a68","80069a68","Function","Global","Default","0","0"
"endDemo?","80069a98","Function","Global","User Defined","1","0"
"FUN_80069ad4","80069ad4","Function","Global","Default","1","0"
"FUN_80069b68","80069b68","Function","Global","Default","1","0"
"FUN_80069bdc","80069bdc","Function","Global","Default","1","0"
"FUN_8006a194","8006a194","Function","Global","Default","1","0"
"FUN_8006a500","8006a500","Function","Global","Default","1","0"
"FUN_8006a824","8006a824","Function","Global","Default","1","0"
"FUN_8006ac24","8006ac24","Function","Global","Default","10","0"
"FUN_8006af6c","8006af6c","Function","Global","Default","1","0"
"FUN_8006af9c","8006af9c","Function","Global","Default","2","0"
"FUN_8006b230","8006b230","Function","Global","Default","1","0"
"FUN_8006b668","8006b668","Function","Global","Default","2","0"
"FUN_8006b78c","8006b78c","Function","Global","Default","2","0"
"switchD","8006b7c8","Instruction Label","switchD_8006b7c8","Analysis","0","0"
"caseD_0","8006b7cc","Instruction Label","switchD_8006b7c8","Analysis","2","0"
"caseD_3","8006b7e0","Instruction Label","switchD_8006b7c8","Analysis","3","0"
"caseD_6","8006b7e0","Instruction Label","switchD_8006b7c8","Analysis","0","0"
"caseD_1","8006b810","Instruction Label","switchD_8006b7c8","Analysis","4","0"
"caseD_4","8006b810","Instruction Label","switchD_8006b7c8","Analysis","0","0"
"caseD_7","8006b810","Instruction Label","switchD_8006b7c8","Analysis","0","0"
"caseD_8","8006b838","Instruction Label","switchD_8006b7c8","Analysis","2","0"
"caseD_2","8006b83c","Instruction Label","switchD_8006b7c8","Analysis","3","0"
"caseD_5","8006b83c","Instruction Label","switchD_8006b7c8","Analysis","0","0"
"caseD_9","8006b880","Instruction Label","switchD_8006b7c8","Analysis","8","0"
"FUN_8006bb60","8006bb60","Function","Global","Default","1","0"
"FUN_8006be00","8006be00","Function","Global","Default","1","0"
"FUN_8006c088","8006c088","Function","Global","Default","1","0"
"FUN_8006c0d0","8006c0d0","Function","Global","Default","0","0"
"FUN_8006c100","8006c100","Function","Global","Default","2","0"
"FUN_8006c13c","8006c13c","Function","Global","Default","7","0"
"FUN_8006c268","8006c268","Function","Global","Default","2","0"
"FUN_8006c2b4","8006c2b4","Function","Global","Default","1","0"
"FUN_8006c398","8006c398","Function","Global","Default","8","0"
"FUN_8006c3f0","8006c3f0","Function","Global","Default","2","0"
"FUN_8006c3f8","8006c3f8","Function","Global","Default","2","0"
"FUN_8006c43c","8006c43c","Function","Global","Default","2","0"
"FUN_8006c444","8006c444","Function","Global","Default","1","0"
"challengeDrawStarsOnMissionMenu?","8006c48c","Function","Global","User Defined","1","0"
"starMissionRelated","8006c7c4","Function","Global","User Defined","2","0"
"challenge_checkRecruitment","8006c9d8","Function","Global","User Defined","3","0"
"FUN_8006ca9c","8006ca9c","Function","Global","Default","1","0"
"starMissionMenu?","8006cac8","Function","Global","User Defined","1","0"
"challengeRelated","8006cbe4","Function","Global","User Defined","2","0"
"determineIfMissionDescriptionIsShown?","8006cca4","Function","Global","User Defined","3","0"
"FUN_8006cdc0","8006cdc0","Function","Global","Default","0","0"
"FUN_8006cebc","8006cebc","Function","Global","Default","1","0"
"FUN_8006cf6c","8006cf6c","Function","Global","Default","1","0"
"PPCMfmsr","8006d024","Function","base::PPCArch","User Defined","3","0"
"PPCMtmsr","8006d02c","Function","base::PPCArch","User Defined","6","0"
"PPCMfhid0","8006d034","Function","base::PPCArch","User Defined","3","0"
"PPCMthid0","8006d03c","Function","base::PPCArch","User Defined","1","0"
"PPCMfl2cr","8006d044","Function","base::PPCArch","User Defined","8","0"
"PPCMtl2cr","8006d04c","Function","base::PPCArch","User Defined","5","0"
"PPCMtdec","8006d054","Function","base::PPCArch","User Defined","15","0"
"PPCSync","8006d05c","Function","base::PPCArch","User Defined","19","0"
"PPCHalt","8006d064","Function","base::PPCArch","User Defined","5","0"
"PPCMtmmcr0","8006d078","Function","base::PPCArch","User Defined","1","0"
"PPCMtmmcr1","8006d080","Function","base::PPCArch","User Defined","1","0"
"PPCMtpmc1","8006d088","Function","base::PPCArch","User Defined","1","0"
"PPCMtpmc2","8006d090","Function","base::PPCArch","User Defined","1","0"
"PPCMtpmc3","8006d098","Function","base::PPCArch","User Defined","1","0"
"PPCMtpmc4","8006d0a0","Function","base::PPCArch","User Defined","1","0"
"PPCMffpscr","8006d0a8","Function","base::PPCArch","User Defined","2","0"
"PPCMtfpscr","8006d0c8","Function","base::PPCArch","User Defined","2","0"
"PPCMfhid2","8006d0f0","Function","base::PPCArch","User Defined","5","0"
"PPCMthid2","8006d0f8","Function","base::PPCArch","User Defined","4","0"
"PPCMtwpar","8006d100","Function","base::PPCArch","User Defined","1","0"
"PPCDisableSpeculation","8006d108","Function","base::PPCArch","User Defined","1","0"
"PPCSetFpNonIEEEMode","8006d130","Function","base::PPCArch","User Defined","1","0"
"__OSFPRInit","8006d138","Function","OS::OS","User Defined","1","0"
"GetConsoleType","8006d260","Function","OS::OS","User Defined","3","0"
"InquiryCallback","8006d288","Function","OS::OS","User Defined","1","0"
"OSInit","8006d2c4","Function","OS::OS","User Defined","1","0"
"OSExceptionInit","8006d7a4","Function","OS::OS","User Defined","1","0"
"__OSDBIntegrator","8006da24","Function","OS::OS","User Defined","1","0"
"FUN_8006da48","8006da48","Function","Global","Default","1","0"
"__OSSetExceptionHandler","8006da4c","Function","OS::OS","User Defined","4","0"
"__OSGetExceptionHandler","8006da68","Function","OS::OS","User Defined","1","0"
"OSExceptionVector","8006da7c","Function","OS::OS","User Defined","2","0"
"__DBVECTOR","8006dad4","Function","OS::OS","User Defined","2","0"
"__OSEVSetNumber","8006dae4","Function","OS::OS","User Defined","4","0"
"__OSEVEnd","8006db14","Function","OS::OS","User Defined","1","0"
"OSDefaultExceptionHandler","8006db18","Function","OS::OS","User Defined","25","0"
"__OSPSInit","8006db70","Function","OS::OS","User Defined","1","0"
"__OSGetDIConfig","8006dbc4","Function","OS::OS","User Defined","1","0"
"OSRegisterVersion","8006dbd8","Function","OS::OS","User Defined","12","0"
"OSInitAlarm","8006dc04","Function","OS::OSAlarm","User Defined","3","0"
"OSCreateAlarm","8006dc5c","Function","OS::OSAlarm","User Defined","15","0"
"InsertAlarm","8006dc6c","Function","OS::OSAlarm","User Defined","2","0"
"OSSetAlarm","8006debc","Function","OS::OSAlarm","User Defined","19","0"
"OSCancelAlarm","8006df24","Function","OS::OSAlarm","User Defined","10","0"
"FUN_8006e040","8006e040","Function","Global","Default","1","0"
"FUN_8006e270","8006e270","Function","Global","Default","3","0"
"OnReset","8006e2c0","Function","OS::OSAlarm","User Defined","1","0"
"DLInsert","8006e360","Function","OS::OSAlloc","User Defined","1","0"
"OSFreeToHeap","8006e40c","Function","OS::OSAlloc","User Defined","1","0"
"OSSetCurrentHeap","8006e488","Function","OS::OSAlloc","User Defined","1","0"
"OSInitAlloc","8006e498","Function","OS::OSAlloc","User Defined","1","0"
"OSCreateHeap","8006e508","Function","OS::OSAlloc","User Defined","1","0"
"OSGetArenaHi","8006e574","Function","OS::OSArena","User Defined","12","0"
"OSGetArenaLo","8006e57c","Function","OS::OSArena","User Defined","12","0"
"OSSetArenaHi","8006e584","Function","OS::OSArena","User Defined","3","0"
"OSSetArenaLo","8006e58c","Function","OS::OSArena","User Defined","8","0"
"OSAllocFromArenaLo","8006e594","Function","OS::OSArena","User Defined","8","0"
"__OSInitAudioSystem","8006e5c0","Function","OS::OSAudioSystem","User Defined","1","0"
"__OSStopAudioSystem","8006e77c","Function","OS::OSAudioSystem","User Defined","2","0"
"DCEnable","8006e854","Function","OS::OSCache","User Defined","1","0"
"DCInvalidateRange","8006e868","Function","OS::OSCache","User Defined","34","0"
"DCFlushRange","8006e894","Function","OS::OSCache","User Defined","36","0"
"DCStoreRange","8006e8c4","Function","OS::OSCache","User Defined","23","0"
"DCFlushRangeNoSync","8006e8f4","Function","OS::OSCache","User Defined","20","0"
"DVStoreRangeNoSync","8006e920","Function","OS::OSCache","User Defined","23","0"
"ICInvalidateRange","8006e94c","Function","OS::OSCache","User Defined","12","0"
"ICFlashInvalidate","8006e980","Function","OS::OSCache","User Defined","5","0"
"ICEnable","8006e990","Function","OS::OSCache","User Defined","1","0"
"__LCEnable","8006e9a4","Function","OS::OSCache","User Defined","1","0"
"LCEnable","8006ea70","Function","OS::OSCache","User Defined","1","0"
"LCDisable","8006eaa8","Function","OS::OSCache","User Defined","2","0"
"LCLoadBlocks","8006ead0","Function","OS::OSCache","User Defined","22","0"
"LCStoreBlocks","8006eaf4","Function","OS::OSCache","User Defined","6","0"
"LCLoadData","8006eb18","Function","OS::OSCache","User Defined","4","0"
"LCStoreData","8006ebc4","Function","OS::OSCache","User Defined","4","0"
"LCQueueWait","8006ec70","Function","OS::OSCache","User Defined","9","0"
"L2GlobalInvalidate","8006ec84","Function","OS::OSCache","User Defined","1","0"
"__OSCacheInit","8006ee7c","Function","OS::OSCache","User Defined","2","0"
"__OSLoadFPUContext","8006ef70","Function","OS::OSContext","User Defined","1","0"
"__OSSaveFPUContext","8006f094","Function","OS::OSContext","User Defined","2","0"
"OSLoadFPUContext","8006f1bc","Function","OS::OSContext","User Defined","1","0"
"OSSetCurrentContext","8006f1c4","Function","OS::OSContext","User Defined","38","0"
"OSGetCurrentContext","8006f220","Function","OS::OSContext","User Defined","1","0"
"OSSaveContext","8006f22c","Function","OS::OSContext","User Defined","1","0"
"OSLoadContext","8006f2ac","Function","OS::OSContext","User Defined","10","0"
"OSGetStackPointer","8006f384","Function","OS::OSContext","User Defined","2","0"
"OSClearContext","8006f38c","Function","OS::OSContext","User Defined","40","0"
"OSInitContext","8006f3b0","Function","OS::OSContext","User Defined","1","0"
"OSDumpContext","8006f46c","Function","OS::OSContext","User Defined","3","0"
"__OSContextInit","8006f798","Function","OS::OSContext","User Defined","1","0"
"OSReport","8006f7e0","Function","OS::OSError","User Defined","124","0"
"OSPanic","8006f860","Function","OS::OSContext","User Defined","144","0"
"OSSetErrorHandler","8006f98c","Function","OS::OSContext","User Defined","1","0"
"__OSUnhandledException","8006fba4","Function","OS::OSContext","User Defined","2","0"
"switchD","8006fdac","Instruction Label","switchD_8006fdac","Analysis","0","0"
"caseD_2","8006fdb0","Instruction Label","switchD_8006fdac","Analysis","2","0"
"caseD_3","8006fdc8","Instruction Label","switchD_8006fdac","Analysis","2","0"
"caseD_5","8006fddc","Instruction Label","switchD_8006fdac","Analysis","2","0"
"caseD_6","8006fdf4","Instruction Label","switchD_8006fdac","Analysis","2","0"
"caseD_f","8006fe0c","Instruction Label","switchD_8006fdac","Analysis","2","0"
"caseD_0","8006fe58","Instruction Label","switchD_8006fdac","Analysis","17","0"
"caseD_1","8006fe58","Instruction Label","switchD_8006fdac","Analysis","0","0"
"caseD_4","8006fe58","Instruction Label","switchD_8006fdac","Analysis","0","0"
"caseD_7","8006fe58","Instruction Label","switchD_8006fdac","Analysis","0","0"
"caseD_8","8006fe58","Instruction Label","switchD_8006fdac","Analysis","0","0"
"caseD_9","8006fe58","Instruction Label","switchD_8006fdac","Analysis","0","0"
"caseD_a","8006fe58","Instruction Label","switchD_8006fdac","Analysis","0","0"
"caseD_b","8006fe58","Instruction Label","switchD_8006fdac","Analysis","0","0"
"caseD_c","8006fe58","Instruction Label","switchD_8006fdac","Analysis","0","0"
"caseD_d","8006fe58","Instruction Label","switchD_8006fdac","Analysis","0","0"
"caseD_e","8006fe58","Instruction Label","switchD_8006fdac","Analysis","0","0"
"PackArgs","8006fe8c","Function","OS::OSExec","User Defined","1","0"
"Run","80070014","Function","OS::OSExec","User Defined","2","0"
"FUN_8007003c","8007003c","Function","Global","Default","0","0"
"ReadDisc","80070050","Function","OS::OSExec","User Defined","2","0"
"Callback","800700bc","Function","OS::OSExec","User Defined","1","0"
"__OSGetExecParams","800700c8","Function","OS::OSExec","User Defined","1","0"
"GetApploaderPosition","80070108","Function","OS::OSExec","User Defined","3","0"
"__OSBootDolSimple","800701cc","Function","OS::OSExec","User Defined","1","0"
"__OSBootDol","80070650","Function","OS::OSExec","User Defined","1","0"
"GetFontCode","800707ec","Function","OS::OSFont","User Defined","1","0"
"OSGetFontEncode","80070960","Function","OS::OSFont","User Defined","1","0"
"ParseStringS","800709c4","Function","OS::OSFont","User Defined","2","0"
"OSDisableInterrupts","80070b00","Function","OS::OSInterrupt","User Defined","192","0"
"OSEnableInterrupts","80070b14","Function","OS::OSInterrupt","User Defined","8","0"
"OSRestoreInterrupts","80070b28","Function","OS::OSInterrupt","User Defined","223","0"
"__OSSetInterruptHandler","80070b4c","Function","OS","User Defined","25","0"
"__OSGetInterruptHandler","80070b68","Function","OS::OSInterrupt","User Defined","1","0"
"__OSInterruptInit","80070b7c","Function","OS::OSInterrupt","User Defined","1","0"
"SetInterruptMask","80070bf0","Function","OS::OSInterrupt","User Defined","2","0"
"__OSMaskInterrupts","80070ec8","Function","OS::OSInterrupt","User Defined","19","0"
"__OSUnmaskInterrupts","80070f50","Function","OS::OSInterrupt","User Defined","22","0"
"__OSDispatchHandler","80070fd8","Function","OS::OSInterrupt","User Defined","1","0"
"ExternalInterruptHandler","8007131c","Function","OS::OSInterrupt","User Defined","3","0"
"OSNotifyLink","8007136c","Function","OS::OSLink","User Defined","1","0"
"OSNotifyUnlink","80071370","Function","OS::OSLink","User Defined","1","0"
"Relocate","80071374","Function","OS::OSLink","User Defined","3","0"
"Link","80071630","Function","OS::OSLink","User Defined","1","0"
"OSLink","80071910","Function","OS::OSLink","User Defined","2","0"
"Undo","80071934","Function","OS::OSLink","User Defined","1","0"
"OSUnlink","80071b6c","Function","OS::OSLink","User Defined","2","0"
"__OSModuleInit","80071d40","Function","OS::OSLink","User Defined","1","0"
"OSInitMessageQueue","80071d58","Function","OS::OSMessage","User Defined","1","0"
"OSSendMessage","80071db8","Function","OS::OSMessage","User Defined","8","0"
"OSReceiveMessage","80071e80","Function","OS::OSMessage","User Defined","1","0"
"OnReset","80071f5c","Function","OS::OSMemory","User Defined","2","0"
"MEMIntrruptHandler","80071f98","Function","Global","User Defined","15","0"
"Config24MB","80072004","Function","Global","User Defined","1","0"
"RealMode","80072104","Function","OS::OSMemory","User Defined","2","0"
"__OSInitMemoryProtection","8007211c","Function","OS::OSMemory","User Defined","1","0"
"__OSUnlockAllMutex","80072234","Function","OS::OSMutex","User Defined","2","0"
"__OSReboot","800722a4","Function","OS::OSReboot","User Defined","1","0"
"OSGetSaveRegion","80072314","Function","Global","User Defined","1","0"
"OSRegisterResetFunction","80072328","Function","Global","User Defined","5","0"
"__OSCallResetFunctions","800723ac","Function","OS::OSReset","User Defined","4","0"
"Reset","80072454","Thunk Function","OS::OSReset","User Defined","2","0"
"FUN_80072458","80072458","Function","OS::OSReset","Default","2","0"
"thunk_FUN_80072458","80072474","Thunk Function","OS::OSReset","Default","2","0"
"FUN_80072478","80072478","Function","OS::OSReset","Default","1","0"
"thunk_FUN_80072458","80072494","Thunk Function","OS::OSReset","Default","2","0"
"FUN_80072498","80072498","Function","OS::OSReset","Default","1","0"
"thunk_FUN_80072458","800724b4","Thunk Function","OS::OSReset","Default","2","0"
"thunk_FUN_80072458","800724c0","Thunk Function","OS::OSReset","Default","2","0"
"KillThreads","800724c4","Function","OS::OSReset","User Defined","2","0"
"__OSDoHotReset","8007252c","Function","OS::OSMemory","User Defined","7","0"
"ResetSystem","80072574","Function","OS::OSReset","User Defined","4","0"
"OSGetResetCode","80072774","Function","OS::OSReset","User Defined","2","0"
"FUN_800727ac","800727ac","Function","Global","Default","3","0"
"OSGetResetButtonState","800728a0","Function","OS::OSResetSW","User Defined","3","0"
"WriteSramCallback","80072b38","Function","OS::OSRtc","User Defined","2","0"
"WriteSram","80072b98","Function","OS::OSRtc","User Defined","1","0"
"__OSInitSram","80072cb0","Function","OS::OSRtc","User Defined","1","0"
"__OSLockSram","80072dec","Function","OS::OSRtc","User Defined","3","0"
"__OSLockSramEx","80072e48","Function","OS::OSRtc","User Defined","6","0"
"UnlockSram","80072ea4","Function","OS::OSRtc","User Defined","14","0"
"__OSUnlockSram","800731e0","Function","OS","User Defined","3","0"
"__OSUnlockSramEx","80073204","Function","OS::OSRtc","User Defined","7","0"
"__OSSyncSram","80073228","Function","OS::OSRtc","User Defined","3","0"
"OSGetSoundMode","80073238","Function","OS::OSRtc","User Defined","3","0"
"OSSetSoundMode","800732b8","Function","OS::OSRtc","User Defined","2","0"
"OSGetProgressiveMode","8007335c","Function","OS::OSRtc","User Defined","1","0"
"OSSetProgressiveMode","800733cc","Function","OS::OSRtc","User Defined","2","0"
"OSGetWirelessID","80073470","Function","OS::OSRtc","User Defined","1","0"
"OSSetWirelessID","800734f4","Function","OS::OSRtc","User Defined","7","0"
"OSGetGbsMode","800735a0","Function","OS::OSRtc","User Defined","1","0"
"OSSetGbsMode","80073610","Function","OS::OSRtc","User Defined","1","0"
"OSInitSemaphore","800736c8","Function","OS::OSSemaphore","User Defined","3","0"
"OSWaitSemaphore","80073720","Function","OS::OSSemaphore","User Defined","5","0"
"OSSignalSemaphore","80073790","Function","OS::OSSemaphore","User Defined","3","0"
"__OSInitSystemCall","80073810","Function","OS::OSSync","User Defined","1","0"
"DefaultSwitchThreadCallback","80073874","Function","OS::OSThread","User Defined","4","0"
"__OSThreadInit","80073878","Function","OS::OSThread","User Defined","1","0"
"OSInitThreadQueue","800739d0","Function","OS::OSThread","User Defined","13","0"
"OSGetCurrentThread","800739e0","Function","OS::OSThread","User Defined","6","0"
"OSIsThreadSuspended","800739ec","Function","OS::OSThread","User Defined","1","0"
"OSDisableScheduler","80073a08","Function","OS::OSThread","User Defined","5","0"
"OSEnableScheduler","80073a48","Function","OS::OSThread","User Defined","6","0"
"UnsetRun","80073a88","Function","OS::OSThread","User Defined","3","0"
"__OSGetEffectivePriority","80073af0","Function","OS::OSThread","User Defined","3","0"
"SetEffectiovePriority","80073b2c","Function","OS::OSThread","User Defined","3","0"
"SelectThread","80073cec","Function","OS::OSThread","User Defined","7","0"
"__OSReschedule","80073f14","Function","OS::OSThread","User Defined","4","0"
"OSCreateThread","80073f44","Function","OS::OSThread","User Defined","7","0"
"OSExitThread","8007412c","Function","OS::OSThread","User Defined","1","0"
"OSCancelThread","80074210","Function","OS::OSThread","User Defined","4","0"
"OSResumeThread","800743cc","Function","OS::OSThread","User Defined","13","0"
"OSSuspendThread","80074654","Function","OS::OSThread","User Defined","4","0"
"OSSleepThread","800747c4","Function","OS::OSThread","User Defined","15","0"
"OSWakeupThread","800748b0","Function","OS::OSThread","User Defined","14","0"
"OSClearStack","800749b4","Function","OS::OSThread","User Defined","1","0"
"OSGetTime","80074a60","Function","OS::OSTime","User Defined","38","0"
"OSGetTick","80074a78","Function","OS::OSTime","User Defined","9","0"
"__OSGetSystemTime","80074a80","Function","OS::OSTime","User Defined","27","0"
"GetDates","80074ae4","Function","OS::OSTime","User Defined","1","0"
"OSTicksToCalendarTime","80074c80","Function","OS::OSTime","User Defined","2","0"
"__init_user","80074e84","Function","OS::__ppc_eabi_init","User Defined","1","0"
"__init_cpp","80074ea4","Function","OS::__ppc_eabi_init","User Defined","1","0"
"abort","80074ef8","Function","OS::__ppc_eabi_init","User Defined","1","0"
"DBInit","80074f18","Function","db::db","User Defined","1","0"
"__DBExceptionDestinationAux","80074f40","Function","db::db","User Defined","1","0"
"__DBIsExceptionMarked","80074f98","Function","db::db","User Defined","2","0"
"DBPrintf","80074fb4","Function","db::db","User Defined","10","0"
"PSMTXIdentity","80075004","Function","mtx::mtx","User Defined","114","0"
"PSMTXCopy","80075030","Function","mtx::mtx","User Defined","63","0"
"PSMTXConcat","80075064","Function","mtx::mtx","User Defined","178","0"
"PSMTXTranspose","80075130","Function","mtx::mtx","User Defined","12","0"
"PSMTXInverse","80075180","Function","mtx","User Defined","59","0"
"PSMTXRotRad","80075278","Function","mtx","User Defined","55","0"
"PSMTXRotTrig","800752e8","Function","mtx","User Defined","1","0"
"___PSMTXRotAxisRadInternal","80075398","Function","mtx","User Defined","1","0"
"PSMTXRotAxisRad","80075448","Function","mtx","User Defined","26","0"
"PSMTXTrans","800754b8","Function","mtx","User Defined","23","0"
"PSMTXTransApply","800754ec","Function","mtx","User Defined","11","0"
"PSMTXScale","80075538","Function","mtx","User Defined","17","0"
"PSMTXScaleApply","80075560","Function","mtx","User Defined","3","0"
"PSMTXQuat","800755b8","Function","mtx","User Defined","30","0"
"C_MTXLookAt","8007565c","Function","mtx","User Defined","2","0"
"C_MTXLightOrtho","800757e8","Function","mtx","User Defined","2","0"
"PSMTXMultVec","80075870","Function","mtx::mtxvec","User Defined","220","0"
"PSMTXMultVecArray","800758c4","Function","mtx::mtxvec","User Defined","1","0"
"PSMTXMultVecSR","80075950","Function","mtx::mtxvec","User Defined","12","0"
"C_MTXFrustum","800759a4","Function","mtx::mtx44","User Defined","15","0"
"C_MTXLightOrtho","80075a40","Function","mtx","User Defined","13","0"
"PSMTX44Identity","80075ad8","Function","mtx","User Defined","12","0"
"PSMTX44Copy","80075b0c","Function","mtx","User Defined","2","0"
"PSMTX44Concat","80075b50","Function","mtx","User Defined","10","0"
"C_MTX44Inverse","80075c54","Function","mtx","User Defined","0","0"
"PSMTX44RotRad","80076044","Function","mtx","User Defined","5","0"
"PSMTX44RotTrig","800760b4","Function","mtx::mtx44","User Defined","1","0"
"PSMTX44MultVec","80076188","Function","mtx::mtx44vec","User Defined","29","0"
"PSMTX44MultVecArray","80076200","Function","mtx::mtx44vec","User Defined","1","0"
"PSVECAdd","800762f0","Function","mtx::vec","User Defined","171","0"
"PSVECSubtract","80076314","Function","mtx","User Defined","192","0"
"PSVECScale","80076338","Function","mtx","User Defined","209","0"
"PSVECNormalize","80076354","Function","mtx","User Defined","188","0"
"PSVECMag","80076398","Function","mtx","User Defined","138","0"
"PSVECDotProduct","800763dc","Function","mtx","User Defined","90","0"
"PSVECCrossProduct","800763fc","Function","mtx","User Defined","53","0"
"PSVECSquareDistance","80076438","Function","mtx","User Defined","2","0"
